instrumentType,mfgSN,assetID,assignment,leg
CTDPFL104,520144,ATOSU-67977-00004,DP01A-2024,3
DOSTAD104,459,ATAPL-58320-00010,DP01A-2024,3 
FLCDRA102,3460,ATOSU-70111-00003,DP01A-2024,3 
FLNTUA102,3468,ATAPL-70110-00003,DP01A-2024,3 
VEL3DA103,1214,ATAPL-58346-00005,DP01A-2024,3 
CTDPFL105,520145,ATOSU-67977-00005,DP01B-2024,3 
DOSTAD105,458,ATAPL-58320-00009,DP01B-2024,3 
FLCDRA103,3400,ATAPL-70111-00007,DP01B-2024,3 
FLNTUA103,3398,ATOSU-70110-00007,DP01B-2024,3 
VEL3DA105,458,ATAPL-58346-00009,DP01B-2024,3 
CTDPFL304,520139,ATAPL-67977-00003,DP03A-2024,3 
DOSTAD304,137,ATAPL-58320-00008,DP03A-2024,3 
FLCDRA302,3098,ATAPL-70111-00001,DP03A-2024,3 
FLNTUA302,3099,ATAPL-70110-00001,DP03A-2024,3 
VEL3DA303,1131,ATAPL-58346-00008,DP03A-2024,3 
CTDPFB101,16-7234,ATAPL-67627-00002,LJ01A-2024,2 
DOSTAD101,475,ATAPL-58320-00014,LJ01A-2024,2 
HPIESA101,2,ATAPL-58323-00002,LJ01A-2024,2 
OPTAAC103,248,ATAPL-69943-00008,LJ01A-2024,2 
PRESTB102,5471540-0031,ATAPL-69923-00001,LJ01B-2024,2 
VEL3DB104,10313,ATAPL-67979-00004,LJ01B-2024,2 
ADCPSI103,21498,ATOSU-69825-00001,LJ01C-2024,2 
CTDBPO108,16-7231,ATOSU-69828-00001,LJ01C-2024,2 
DOSTAD108,133,ATOSU-58320-00021,LJ01C-2024,2 
HYDBBA105,1249,ATOSU-58324-00015,LJ01C-2024,2 
OPTAAC104,191,ATOSU-69943-00010,LJ01C-2024,2 
PCO2WB104,C0064,ATOSU-70570-00001,LJ01C-2024,2 
PHSEND107,P0117,ATOSU-70571-00002,LJ01C-2024,2 
VEL3DC107,VEC-4940/VEC-8159,ATOSU-69829-00004,LJ01C-2024,2 
ADCPTB104,19003,ATOSU-69826-00002,LJ01D-2024,2 
CTDBPN106,16-50635,ATAPL-69821-10005,LJ01D-2024,2 
DOSTAD106,216,ATOSU-58320-00020,LJ01D-2024,2 
HYDBBA106,1248,ATOSU-58324-00014,LJ01D-2024,2 
OPTAAD106,134,ATOSU-58332-00001,LJ01D-2024,2 
PCO2WB103,C0080,ATOSU-58336-00002,LJ01D-2024,2 
PHSEND103,P0116,ATOSU-58337-00001,LJ01D-2024,2 
VEL3DC108,VEC-5007/VEC-8167,ATOSU-69829-00003,LJ01D-2024,2 
CTDPFB301,16-50031,ATAPL-67627-00003,LJ03A-2024,3 
DOSTAD301,273,ATAPL-58320-00003,LJ03A-2024,3 
OPTAAC303,156,ATAPL-69943-00003,LJ03A-2024,3 
CAMDSB106,SUBC20120,ATAPL-78437-00013,LV01C-2024,2 
PRESTA101,5471540-0029,ATAPL-67639-00003,MJ01A-2024,1 
VEL3DB101,10349,ATAPL-67979-00006,MJ01A-2024,1 
OBSBBA102,T1080/T5CEG2,ATAPL-58329-00002,MJ01A-2024,1 
HYDLFA101,299469,ATAPL-58693-00007,MJ01A-2024,1 
CAMDSB103,SUBC20119,ATAPL-78437-00012,MJ01B-2024,2 
FLOBNC101,2,ATAPL-58334-00002,MJ01B-2024,2 
FLOBNM101,3,ATAPL-58334-00003,MJ01B-2024,2 
