node,mooringID,nodeID,notes
DP01A,ATAPL-69543-00001,ATAPL-71403-00007,"2024swap"
DP01B,ATAPL-69544-00001,ATAPL-71403-00004,"2024swap"
DP03A,ATAPL-69545-00001,ATAPL-71403-00003,"2024swap"
LJ01A,RS01SLBS-LJ01A-0000,ATAPL-65310-00010,"noChange"
LJ01B,RS01SUM1-LJ01B-0000,ATAPL-65310-00012,"2024swap"
LJ01C,CE04OSBP-LJ01C-0000,ATAPL-65310-00005,"2024swap"
LJ01D,CE02SHBP-LJ01D-0000,ATAPL-65310-00006,"2024swap"
LJ03A,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,"noChange"
LV01A,RS01SBPS-LV01A-0000,ATAPL-65291-00045,"noChange"
LV01B,RS01SUM1-LV01B-0000,ATAPL-65291-00043,"noChange"
LV01C,CE04OSBP-LV01C-0000,ATAPL-65291-00046,"2024swap"
LV03A,RS03AXPS-LV03A-0000,ATAPL-65291-00047,"noChange"
MJ01A,RS01SLBS-MJ01A-0000,ATAPL-65244-00034,"2024swap"
MJ01B,RS01SUM2-MJ01B-0000,ATAPL-65244-00028,"noChange"
MJ01C,CE02SHBP-MJ01C-0000,ATAPL-65244-00025,"2024swap"
MJ03A,RS03AXBS-MJ03A-0000,ATAPL-65244-00026,"noChange"
MJ03B,RS03ASHS-MJ03B-0000,ATAPL-65244-00027,"2024swap"
MJ03C,RS03INT1-MJ03C-0000,ATAPL-65244-00024,"noChange"
MJ03D,RS03INT2-MJ03D-0000,ATAPL-65244-00023,"noChange"
MJ03E,RS03ECAL-MJ03E-0000,ATAPL-65244-00031,"noChange"
MJ03F,RS03CCAL-MJ03F-0000,ATAPL-65244-00030,"noChange"
PC01A,ATAPL-67762-20001,ATAPL-69839-00101,"2024swap"
PC01B,ATAPL-67762-10001,ATAPL-69839-00102,"2024swap"
PC03A,ATAPL-67762-30001,ATAPL-69839-00106,"2024swap"
PD01A,ATAPL-69543-00001,ATAPL-71533-00002,"noChange"
PD01B,ATAPL-69544-00001,ATAPL-71533-00005,"noChange"
PD03A,ATAPL-69545-00001,ATAPL-71533-00004,"noChange"
PN01A,RS01SLBS-PN01A-0000,ATSOO-70232-PN01A,"noChange"
PN01B,RS01SUM1-PN01B-0000,ATSOO-70232-PN01B,"noChange"
PN01C,CE04OSBP-PN01C-0000,ATSOO-70232-PN01C,"noChange"
PN01D,CE02SHBP-PN01D-0000,ATSOO-70232-PN01D,"noChange"
PN03A,RS03AXBS-PN03A-0000,ATSOO-70232-PN03A,"noChange"
PN03B,RS03AXSM-PN03B-0000,ATSOO-70232-01H3B,"noChange"
PN05A,RS05MDPL-PN05A-0000,ATSOO-70232-PN05A,"noChange"
SC01A,ATAPL-67762-20001,ATAPL-69140-00120,"2024swap"
SC01B,ATAPL-67762-10001,ATAPL-69140-00123,"2024swap"
SC03A,ATAPL-67762-30001,ATAPL-69140-00122,"2024swap"
SF01A,ATAPL-67762-20001,ATAPL-68870-00140,"2024swap"
SF01B,ATAPL-67762-10001,ATAPL-68870-00143,"2024swap"
SF03A,ATAPL-67762-30001,ATAPL-68870-00142,"2024swap"
