referenceDesignator,deployYear,imageFile,imageSerialNumber,imageAssetID
RS03INT1-MJ03C-07-RASFLA301,2024,Images/Equipment_Photos/VISIONS24/MJ03C/RASFLA301/RASFLA301_2024/RASFLA301_20240829_115320_predeploy.JPG,12881-01,
RS03INT1-MJ03C-07-PPSDNA301,2024,mages/Equipment_Photos/VISIONS24/MJ03C/PPSDNA301/PPSDNA301_2024/PPSDNA301_20240829_115438_predeploy.JPG,13003-01,
RS03INT1-MJ03C-07-D1000A301,2024,Images/Equipment_Photos/VISIONS24/MJ03C/RASFLA301/RASFLA301_2024/RASFLA301_20240829_115320_predeploy.JPG,12881-01,
RS03INT1-MJ03C-05-CAMDSB303,2024,Images/Equipment_Photos/VISIONS24/MJ03C/CAMDSB303/CAMDSB303_2024/CAMDSB303_20240812_120025_predeploy.JPG,19008/19032/19033,ATAPL-78437-00008
RS03AXPS-SF03A-4F-PCO2WA301,2024,Images/Equipment_Photos/VISIONS24/SF03A/SF03A_2024/PCO2WA301_2024/PCO2WA301_20240811_113247_predeploy.JPG,124,ATAPL-58336-00010
RS03AXPS-SF03A-4B-VELPTD302,2024,Images/Equipment_Photos/VISIONS24/SF03A/SF03A_2024/VELPTD302_2024/VELPTD302_20240811_113133_predeploy.JPG,6334,ATAPL-70114-00002
RS03AXPS-SF03A-2D-PHSENA301,2024,Images/Equipment_Photos/VISIONS24/SF03A/SF03A_2024/PHSENA301_2024/PHSENA301_20240811_113534_predeploy.JPG,112,ATAPL-58337-00002
RS03AXPS-SF03A-2A-DOFSTA302,2024,Images/Equipment_Photos/VISIONS24/SF03A/SF03A_2024/DOFSTA302_2024/DOFSTA302_20240811_113834_predeploy.JPG,,ATAPL-58694-00002
RS03AXPS-PC03A-4B-PHSENA302,2024,Images/Equipment_Photos/VISIONS24/PC03A/PC03A_2024/PHSENA302_2024/20240810_185108.JPG,,ATAPL-58337-00004
RS03AXPS-PC03A-4A-DOSTAD303,2024,Images/Equipment_Photos/VISIONS24/PC03A/PC03A_2024/DOSTAD303_2024/DOSTAD303_20240811_110456_predeploy.JPG,,5832
