githubFile,instrument,calRepo_check,HITLstatus,HITLnotes,fileParse,serialNumber,duplicateCoeff,vendorMatch
ATOSU-66662-00006__20160301.csv,CTDPFA,MATCH,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180),SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66662-00010__20150503.csv,CTDPFA,MATCH,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180),SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66662-00008__20150412.csv,CTDPFA,MATCH,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180),SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATOSU-66662-00014__20150412.csv,CTDPFA,MATCH,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180),SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATOSU-66662-00007__20160301.csv,CTDPFA,MATCH,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180),SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66662-00011__20150503.csv,CTDPFA,MATCH,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180),SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66662-00009__20150419.csv,CTDPFA,MATCH,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180),SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66662-00002__20160303.csv,CTDPFA,MATCH,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180),SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-67627-00005__20150510.csv,CTDPFB,MATCH,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180),SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-67627-00005__20170307.csv,CTDPFB,MATCH,Clear,erroneous XMLCON file was sent by vendor; cals entered from PDF; vendor cannot locate correct XMLCON,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-67627-00004__20150419.csv,CTDPFB,MATCH,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180),SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-58320-00005__20211026.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00020__20211026.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00006__20210117.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00008__20231129.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00003__20231129.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00021__20130117.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00017__20180910.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00002__20231126.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00006__20170302.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00011__20170302.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00011__20161027.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00015__20170301.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
