verificationStatus,referenceDesignator,deployYear,deploymentSheetAssetID,rawFileVerification,imageVerification,calFileVerification,calibrationRequired,HITLstatus,HITLnotes,,
NOT_VERIFIED,RS03INT1-MJ03C-07-RASFLA301,2025,ATAPL-58340-00003,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03INT1-MJ03C-07-PPSDNA301,2025,ATAPL-58338-00001,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03INT1-MJ03C-07-D1000A301,2025,ATAPL-58340-00003,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03INT1-MJ03C-05-CAMDSB303,2025,ATAPL-78437-00004,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03AXPS-SF03A-4B-VELPTD302,2025,ATAPL-70114-00007,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03AXPS-PC03A-07-CAMDSC302,2025,ATAPL-78437-00003,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03ASHS-PN03B-06-CAMHDA301,2025,ATAPL-70248-00001,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SUM2-MJ01B-05-CAMDSB103,2025,ATAPL-78437-00006,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SLBS-LJ01A-05-HPIESA101,2025,ATAPL-58323-00003,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SBPS-SF01A-4B-VELPTD102,2025,ATAPL-70114-00004,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SBPS-PC01A-07-CAMDSC102,2025,ATAPL-78437-00011,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,CE04OSPS-SF01B-4B-VELPTD106,2025,ATOSU-70114-10008,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,CE04OSBP-LV01C-06-CAMDSB106,2025,ATAPL-78437-00005,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,CE04OSBP-LJ01C-07-VEL3DC107,2025,ATOSU-69829-00002,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,CE02SHBP-MJ01C-08-CAMDSB107,2025,ATAPL-78437-00009,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,CE02SHBP-LJ01D-07-VEL3DC108,2025,ATOSU-69829-00001,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03INT1-MJ03C-10-TRHPHA301,2025,ATAPL-67653-00003,NAN,NAN,none,TRUE,NA,,,
