,referenceDesignator,deployYear,imageFile,imageSerialNumber,imageAssetID,matching_asset_ids,proportion_match,matching_mfg_sn,exact_SN_match,exact_assetID_match,any_match
0,RS03INT1-MJ03C-07-RASFLA301,2024,Images/Equipment_Photos/VISIONS24/MJ03C/RASFLA301/RASFLA301_2024/RASFLA301_20240829_115320_predeploy.JPG,12881-01,,['ATAPL-58340-00001'],,['12881-01'],True,,True
1,RS03INT1-MJ03C-07-PPSDNA301,2024,mages/Equipment_Photos/VISIONS24/MJ03C/PPSDNA301/PPSDNA301_2024/PPSDNA301_20240829_115438_predeploy.JPG,13003-01,,['ATAPL-58338-00002'],,['13003-01'],True,,True
2,RS03INT1-MJ03C-07-D1000A301,2024,Images/Equipment_Photos/VISIONS24/MJ03C/RASFLA301/RASFLA301_2024/RASFLA301_20240829_115320_predeploy.JPG,12881-01,,['ATAPL-58340-00001'],,['12881-01'],True,,True
3,RS03INT1-MJ03C-05-CAMDSB303,2024,Images/Equipment_Photos/VISIONS24/MJ03C/CAMDSB303/CAMDSB303_2024/CAMDSB303_20240812_120025_predeploy.JPG,19008/19032/19033,ATAPL-78437-00008,['ATAPL-78437-00008'],"[0.56, 0.5, 0.5]","['SUBC19008', ' SUBC19032', ' SUBC19033']",,,True
4,RS03AXPS-SF03A-4F-PCO2WA301,2024,Images/Equipment_Photos/VISIONS24/SF03A/SF03A_2024/PCO2WA301_2024/PCO2WA301_20240811_113247_predeploy.JPG,124,ATAPL-58336-00010,"['ATAPL-70114-00007', 'ATOSU-58324-00015', 'ATAPL-58345-00001', 'ATOSU-58324-00014', 'ATAPL-58336-00010']","[0.75, 0.75, 0.6, 0.5, 0.3]","['1248', '1249', 'C0124', ' 61247', ' AQD-12469']",,,True
5,RS03AXPS-SF03A-4B-VELPTD302,2024,Images/Equipment_Photos/VISIONS24/SF03A/SF03A_2024/VELPTD302_2024/VELPTD302_20240811_113133_predeploy.JPG,6334,ATAPL-70114-00002,['ATAPL-70114-00002'],[0.5],['AQS-6334'],,,True
6,RS03AXPS-SF03A-2D-PHSENA301,2024,Images/Equipment_Photos/VISIONS24/SF03A/SF03A_2024/PHSENA301_2024/PHSENA301_20240811_113534_predeploy.JPG,112,ATAPL-58337-00002,"['ATAPL-58337-00002', 'ATAPL-78437-00012', 'ATOSU-66662-00013', 'ATAPL-58322-00002']","[0.3, 0.38, 0.75, 0.6]","[' SUBC20112', '16-50112', '1129', 'P0112']",,,True
7,RS03AXPS-SF03A-2A-DOFSTA302,2024,Images/Equipment_Photos/VISIONS24/SF03A/SF03A_2024/DOFSTA302_2024/DOFSTA302_20240811_113834_predeploy.JPG,,ATAPL-58694-00002,['ATAPL-58694-00002'],,,,True,True
8,RS03AXPS-PC03A-4B-PHSENA302,2024,Images/Equipment_Photos/VISIONS24/PC03A/PC03A_2024/PHSENA302_2024/20240810_185108.JPG,,ATAPL-58337-00004,['ATAPL-58337-00004'],,,,True,True
9,RS03AXPS-PC03A-4A-DOSTAD303,2024,Images/Equipment_Photos/VISIONS24/PC03A/PC03A_2024/DOSTAD303_2024/DOSTAD303_20240811_110456_predeploy.JPG,,5832,,,,,,
10,RS03AXPS-PC03A-08-HYDBBA303,2024,Images/Equipment_Photos/VISIONS24/PC03A/PC03A_2024/HYDBBA303_2024/20240810_184952.JPG,1273,ATAPL-58324-00005,['ATAPL-58324-00005'],,['1273'],True,,True
11,RS03AXPS-PC03A-07-CAMDSC302,2024,Images/Equipment_Photos/VISIONS24/PC03A/PC03A_2024/CAMDSC302_2024/CAMDSC302_20240811_110805_predeploy.JPG,18827/18831,ATAPL-78437-00002,['ATAPL-78437-00002'],"[0.5, 0.56]","[' SUBC18827', 'SUBC18831']",,,True
12,RS03AXBS-LJ03A-12-DOSTAD301,2024,Images/Equipment_Photos/VISIONS24/LJ03A/DOSTAD301/DOSTAD301_2024/DOSTAD301_20240829_200443_predeploy.JPG,273,,['ATAPL-58320-00003'],,['273'],True,,True
13,RS03ASHS-PN03B-06-CAMHDA301,2024,Images/Equipment_Photos/VISIONS24/PN3B/CAMHDA301_2023/CAMHDA301/CAMHDA301_2024/CAMHDA301_20240811_192823_predeploy.JPG,,ATAPL-70168-0000,,,,,,
14,RS03ASHS-MJ03B-00-OSMOIA301,2024,Images/Equipment_Photos/VISIONS24/MJ03B/OSMOIA301/OSMOIA301_2024/OSMOIA301_20240811_193403_predeploy.JPG,2,,['ATAPL-71444-00002'],,['2'],True,,True
