,referenceDesignator,deployYear,imageFile,imageSerialNumber,imageAssetID,notes,matching_asset_ids,proportion_match,matching_mfg_sn,exact_SN_match,exact_assetID_match,any_match
0,RS03AXPS-SF03A-3C-PARADA301,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/SF03A/SF03A_2025/PARADA301_2025/PARADA301_20250805_201851_predeploy.JPG,1402,78452-00004,,['ATAPL-78452-00004'],,['1402'],True,,True
1,RS03AXPS-PC03A-06-VADCPB301,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/PC03A/PC03A_2025/VADCPA301_2025/VADCPA301_20250805_194202_predeploy.JPG,104546,ATAPL-78520-00002,,['ATAPL-78520-00002'],,['104546'],True,,True
2,RS01SBPS-SF01A-3D-SPKIRA101,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/SPKIRA101_2025/SPKIRA101_20250813_225407_predeploy.JPG,267,ATAPL-58341-00004,,['ATAPL-58341-00004'],,['267'],True,,True
3,RS01SBPS-SF01A-3C-PARADA101,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/PARADA101_2025/PARADA101_20250813_225442_predeploy.JPG,1401,00003,,['ATAPL-78452-00003'],,['1401'],True,,True
4,RS01SBPS-SF01A-3B-OPTAAD101,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/OPTAAD101_2025/,221,ATOSU-58332-00008,,['ATOSU-58332-00008'],,['221'],True,,True
5,RS01SBPS-PC01A-06-VADCPB101,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/PHSENA101_2025/PHSENA101_20250813_160956_predeploy.JPG,104567,ATAPL-78520-00001,,['ATAPL-78520-00001'],,['104567'],True,,True
6,CE04OSPS-SF01B-3C-PARADA102,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/SF01B/SF01B_2025/PARADA102_2025/,1404,58452-00006,,['ATAPL-78452-00006'],,['1404'],True,,True
7,CE04OSPS-SF01B-2A-DOFSTA107,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/SF01B/SF01B_2025/DOFSTA107_2025/,43-2853,ATAPL-58694-00004,,['ATOSU-58694-00004'],,['43-2853'],True,,True
8,RS01SBPS-SF01A-2A-DOFSTA102,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/DOFSTA102_2025/DOFSTA102_20250813_161114_predeploy.JPG,43-3163,ATAPL-58694-00005,,['ATAPL-58694-00005'],,['43-3163'],True,,True
9,RS03AXPS-SF03A-2A-DOFSTA302,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/SF03A/SF03A_2025/DOFSTA302_2025/DOFSTA302_20250805_201336_predeploy.JPG,43-3164,ATAPL-58694-00006,,['ATAPL-58694-00006'],,['43-3164'],True,,True
10,CE02SHBP-LJ01D-06-DOSTAD106,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1D/LJ01D/LJ01D_2025/DOSTAD106_2025/,311,ATOSU-58320-00019,,['ATOSU-58320-00019'],,['311'],True,,True
11,CE04OSBP-LJ01C-06-DOSTAD108,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/LJ01C/LJ01C_2025/DOSTAD108_2025/DOSTAD108_20250825_133918_predeploy.JPG,381,,asset id obscured,['ATOSU-58320-00022'],,['381'],True,,True
12,CE04OSPS-PC01B-4A-DOSTAD109,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/PC01B/PC01B_2025/DOSTAD109_2025/DOSTAD109_20250804_152349_predeploy.JPG,316,ATOSU-58320-00017,,['ATOSU-58320-00017'],,['316'],True,,True
13,RS01SBPS-PC01A-4A-DOSTAD103,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/PC01A/PC01A_2025/DOSTAD103_2025/DOSTAD103_20250805_085525_predeploy.JPG,472,ATAPL-58320-00011,repeat sn,['ATAPL-58320-00011'],,['472'],True,,True
14,RS03AXPS-PC03A-4A-DOSTAD303,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/PC03A/PC03A_2025/DOSTAD303_2025/DOSTAD303_20250805_193714_predeploy.JPG,473,ATAPL-58320-00011,repeat sn,['ATAPL-58320-00012'],,['473'],True,,True
15,CE04OSPS-PC01B-4D-PCO2WA105,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/PC01B/PC01B_2025/PCO2WA105_2025/PCO2WA105_20250804_154611_predeploy.JPG,C0123,ATAPL-58336-00009,,['ATAPL-58336-00009'],,['C0123'],True,,True
16,CE04OSPS-SF01B-4F-PCO2WA102,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/SF01B/SF01B_2025/PCO2WA102_2025/PCO2WA102_20250804_165243_predeploy.JPG,C0078,ATOSU-58336-00005,,['ATOSU-58336-00005'],,['C0078'],True,,True
17,RS01SBPS-SF01A-4F-PCO2WA101,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/PCO2WA101_2025/,C0076,ATAPL-58336-00003,,['ATAPL-58336-00003'],,['C0076'],True,,True
18,RS03AXPS-SF03A-4F-PCO2WA301,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/SF03A/SF03A_2025/PCO2WA301_2025/PCO2WA301_20250805_200422_predeploy.JPG,C0075,ATAPL-58336-00002,,['ATAPL-58336-00002'],,['C0075'],True,,True
19,CE02SHBP-LJ01D-09-PCO2WB103,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1D/LJ01D/LJ01D_2025/PCO2WB103_2025/,C0118,ATOSU-70570-00004,,['ATOSU-70570-00004'],,['C0118'],True,,True
20,CE04OSBP-LJ01C-09-PCO2WB104,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/LJ01C/LJ01C_2025/PCO2WB104_2025/,C0090,ATOSU-70570-00003,,['ATOSU-70570-00003'],,['C0090'],True,,True
21,CE04OSPS-PC01B-4B-PHSENA106,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/PC01B/PC01B_2025/PHSENA106_2025/PHSENA106_20250804_154852_predeploy.JPG,P0162,ATAPL-58337-00010,,['ATAPL-58337-00010'],,['P0162'],True,,True
22,CE04OSPS-SF01B-2B-PHSENA108,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/SF01B/SF01B_2025/PHSENA108_2025/PHSENA108_20250804_164655_predeploy.JPG,P0153,ATOSU-58337-00011,,['ATOSU-58337-00011'],,['P0153'],True,,True
23,RS01SBPS-PC01A-4B-PHSENA102,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/PC01A/PC01A_2025/PHSENA102_2025/PHSENA102_20250805_085330_predeploy.JPG,P0111,ATAPL-58337-00002,,['ATAPL-58337-00003'],,['P0111'],True,,True
24,RS01SBPS-SF01A-2D-PHSENA101,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/PHSENA101_2025/PHSENA101_20250813_160956_predeploy.JPG,P0113,ATAPL-58337-00005,,['ATAPL-58337-00005'],,['P0113'],True,,True
25,RS03AXPS-PC03A-4B-PHSENA302,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/PC03A/PC03A_2025/PHSENA302_2025/PHSENA302_20250805_193437_predeploy.JPG,P0059,ATAPL-58337-00001,,['ATAPL-58337-00001'],,['P0059'],True,,True
