calRepo_gitHub_missing	notes
	
2016_Recalculated_DOSTAD_slope_and_offsets	
SeaBird_Druck_Pressure_offset_corrections_RedmineTicket_12180	
	
ATAPL-58320-00003__20131031	DOSTAD
ATAPL-58320-00004__20131031	DOSTAD
ATAPL-58320-00005__20131031	DOSTAD
ATAPL-58320-00006__20131031	DOSTAD
ATAPL-58320-00006__20161027	DOSTAD
ATAPL-58320-00009__20150203	DOSTAD
ATAPL-58320-00009__20161027	DOSTAD
ATAPL-58320-00010__20150203	DOSTAD
	
ATOSU-58322-00013__20170217	FLORDA
	
ATAPL-58324-00001__20171114	HYDBBA
ATAPL-58324-00002__20131211	HYDBBA
ATAPL-58324-00002__20140506	HYDBBA
ATAPL-58324-00002__20171031	HYDBBA
ATAPL-58324-00003__20131211	HYDBBA
ATAPL-58324-00003__20140508	HYDBBA
ATAPL-58324-00003__20171102	HYDBBA
ATAPL-58324-00004__20131211	HYDBBA
ATAPL-58324-00004__20140508	HYDBBA
ATAPL-58324-00004__20171106	HYDBBA
ATAPL-58324-00004__20211118	HYDBBA
ATAPL-58324-00005__20131211	HYDBBA
ATAPL-58324-00005__20171114	HYDBBA
ATAPL-58324-00005__20191206	HYDBBA
ATAPL-58324-00006__20140520	HYDBBA
ATAPL-58324-00006__20171106	HYDBBA
ATAPL-58324-00006__20230301	HYDBBA
ATAPL-58324-00007__20140520	HYDBBA
ATAPL-58324-00007__20171114	HYDBBA
ATAPL-58324-00007__20200120	HYDBBA
ATAPL-58324-00007__20230302	HYDBBA
ATAPL-58324-00008__20150519	HYDBBA
ATAPL-58324-00008__20180927	HYDBBA
ATAPL-58324-00008__20211118	HYDBBA
ATAPL-58324-00009__20150515	HYDBBA
ATAPL-58324-00009__20180926	HYDBBA
ATAPL-58324-00009__20230308	HYDBBA
ATAPL-58324-00010__20150513	HYDBBA
ATAPL-58324-00010__20200120	HYDBBA
ATAPL-58324-00011__20150519	HYDBBA
ATAPL-58324-00011__20230308	HYDBBA
ATOSU-58324-00012__20150525	HYDBBA
ATOSU-58324-00012__20180927	HYDBBA
ATOSU-58324-00012__20230301	HYDBBA
ATOSU-58324-00013__20130326_PLOTONLY	HYDBBA
ATOSU-58324-00013__20130606_PLOTONLY	HYDBBA
ATOSU-58324-00013__20180927	HYDBBA
ATOSU-58324-00013__20230307	HYDBBA
ATOSU-58324-00014__20130802	HYDBBA
ATOSU-58324-00014__20171030	HYDBBA
ATOSU-58324-00014__20211118	HYDBBA
ATOSU-58324-00015__20130805	HYDBBA
ATOSU-58324-00015__20171030	HYDBBA
ATOSU-58324-00015__20211118	HYDBBA
ATOSU-58324-00016__20150528	HYDBBA
ATOSU-58324-00016__20180202	HYDBBA
	
ATAPL-58331-00001__20130430	OBSBBA
ATAPL-58331-00002__20130313	OBSBBA
ATAPL-58331-00003__20130312	OBSBBA
ATAPL-58331-00004__20130314	OBSBBA
ATAPL-58331-00005__20130314	OBSBBA
ATAPL-58331-00006__20130315	OBSBBA
ATAPL-58331-00007__20130315	OBSBBA
ATAPL-58331-00008__20130311	OBSBBA
ATAPL-58331-00009__20130313	OBSBBA
ATAPL-58331-00010__20130307	OBSBBA
ATAPL-58331-00011__20130318	OBSBBA
	
ATAPL-58332-00001__20180518	OPTAAD
ATAPL-58332-00001__20191126	OPTAAD
ATAPL-58332-00001__20211222	OPTAAD
ATAPL-58332-00002__20140307	OPTAAD
ATAPL-58332-00002__20190111	OPTAAD
ATAPL-58332-00002__20250312	OPTAAD
ATAPL-58332-00004__20211210	OPTAAD
ATAPL-58332-00005__20150527	OPTAAD
ATAPL-58332-00005__20191212	OPTAAD
ATAPL-58332-00006__20150527	OPTAAD
ATAPL-58332-00006__20170928	OPTAAD
ATAPL-58332-00006__20210114	OPTAAD
ATAPL-58332-00006__20221022	OPTAAD
ATOSU-58332-00003__20121227	OPTAAD
ATOSU-58332-00003__20221129	OPTAAD
ATOSU-58332-00007__20150409	OPTAAD
ATOSU-58332-00007__20190212	OPTAAD
ATOSU-58332-00008__20170518	OPTAAD
ATOSU-58332-00008__20210107	OPTAAD
ATOSU-58332-00009__20160525	OPTAAD
ATOSU-58332-00009__20180518	OPTAAD
ATOSU-58332-00009__20211021	OPTAAD
	
ATOSU-58336-00005__20131218_narrowRange	PCO2WA
ATOSU-58336-00006__20140121_narrowRange	PCO2WA
	
ATAPL-58693-0000X__20130304	HYDLFA
	
ATAPL-68020-00006__20210801	NUTNRA
ATAPL-68020-00007__20210801	NUTNRA
ATAPL-68020-00008__20210801	NUTNRA
ATOSU-68020-00005__20160127	NUTNRA
ATOSU-68020-00005__20180621	NUTNRA
	
ATAPL-69821-10004__20241109	
	
ATAPL-69940-00001__20130308	OSBBBA
ATAPL-69940-00002__20130307	OSBBBA
ATAPL-69940-00003__20130307	OSBBBA
ATAPL-69940-00004__20130312	OSBBBA
ATAPL-69940-00005__20130307	OSBBBA
	
ATAPL-69943-00002__20160414	OPTAAC
ATAPL-69943-00002__20180627	OPTAAC
ATAPL-69943-00002__20210409	OPTAAC
ATAPL-69943-00003__20160427	OPTAAC
ATAPL-69943-00003__20220111	OPTAAC
ATAPL-69943-00004__20220209	OPTAAC
ATAPL-69943-00005__20180406	OPTAAC
ATAPL-69943-00006__20140222	OPTAAC
ATAPL-69943-00006__20141222	OPTAAC
ATAPL-69943-00006__20180214	OPTAAC
ATAPL-69943-00006__20181214	OPTAAC
ATAPL-69943-00007__20150827	OPTAAC
ATAPL-69943-00007__20190116	OPTAAC
ATAPL-69943-00007__20190117	OPTAAC
ATAPL-69943-00008__20211118	OPTAAC
ATAPL-69943-00009__20150924	OPTAAC
ATAPL-69943-00012__20160224	OPTAAC
ATAPL-69943-00012__20180718	OPTAAC
ATAPL-69943-00012__20250604	OPTAAC
ATOSU-69943-00011__20160525	OPTAAC
ATOSU-69943-00011__20180627	OPTAAC
	
ATAPL-69971-00001__20121106	TMPSFA
ATAPL-69971-00001__20171122	TMPSFA
ATAPL-69971-00002__20121107	TMPSFA
ATAPL-69971-00002__20170412	TMPSFA
ATAPL-69971-00003__20170412	TMPSFA
	
ATAPL-70110-00001__20191001	FLNTUA
ATAPL-70110-00003__20171027	FLNTUA
ATAPL-70110-00003__20190919	FLNTUA
ATAPL-70110-00004__20171027	FLNTUA
ATAPL-70110-00005__20140714	FLNTUA
ATAPL-70110-00005__20231019	FLNTUA
ATOSU-70110-00007__20151222	FLNTUA
ATOSU-70110-00007__20190919	FLNTUA
	
ATOSU-70570-00001__20130311_narrowRange	PCO2WB
ATOSU-70570-00002__20140121_narrowRange	PCO2WB
ATOSU-70570-00003__20140421_narrowRange	PCO2WB
	
ATSBE-LOANER-00001__20250626	OPTAAC
	
PIRSN-HYDBBA-00001__20230427	HYDBBA
