referenceDesignator,Cruise,instrumentType,recoverDate,assetID,serialNumber
CE02SHBP-LJ01D-05-ADCPTB104,TN393,ADCPT-B,2022-08-18T23:51:00,ATOSU-69826-00001,18493
CE02SHBP-LJ01D-06-CTDBPN106,TN393,CTDBP-N,2022-08-18T23:51:00,ATOSU-69827-00002,16-50114
CE02SHBP-LJ01D-06-DOSTAD106,TN393,DOSTA-D,2022-08-18T23:51:00,ATOSU-58320-00019,311
CE02SHBP-LJ01D-07-VEL3DC108,TN393,VEL3D-C,2022-08-18T23:51:00,ATOSU-69829-00001,VEC-5157, VEC-13934
CE02SHBP-LJ01D-08-OPTAAD106,TN393,OPTAA-D,2022-08-18T23:51:00,ATOSU-58332-00007,223
CE02SHBP-LJ01D-09-PCO2WB103,TN393,PCO2W-B,2022-08-18T23:51:00,ATOSU-70570-00004,C0118
CE02SHBP-LJ01D-10-PHSEND103,TN393,PHSEN-D,2022-08-18T23:51:00,ATOSU-70571-00004,P0159
CE02SHBP-LJ01D-11-HYDBBA106,TN393,HYDBB-A,2022-08-18T23:51:00,ATOSU-58324-00012,1411
CE02SHBP-MJ01C-07-ZPLSCB101,TN393,ZPLSC-B,2022-08-18T23:51:00,ATOSU-63259-00001,3
CE04OSBP-LJ01C-05-ADCPSI103,TN393,ADCPS-I,2022-08-19T06:13:00,ATOSU-69825-00002,18153
CE04OSBP-LJ01C-06-CTDBPO108,TN393,CTDBP-O,2022-08-19T06:13:00,ATOSU-69828-00002,16P71879-7249
CE04OSBP-LJ01C-06-DOSTAD108,TN393,DOSTA-D,2022-08-19T06:13:00,ATOSU-58320-00022,381
CE04OSBP-LJ01C-07-VEL3DC107,TN393,VEL3D-C,2022-08-19T06:13:00,ATOSU-69829-00002,VEC-5156, VEC-12587
CE04OSBP-LJ01C-08-OPTAAC104,TN393,OPTAA-C,2022-08-19T06:13:00,ATOSU-69943-00011,140
CE04OSBP-LJ01C-09-PCO2WB104,TN393,PCO2W-B,2022-08-19T06:13:00,ATOSU-70570-00003,C0090
CE04OSBP-LJ01C-10-PHSEND107,TN393,PHSEN-D,2022-08-19T06:13:00,ATOSU-70571-00003,P0132
CE04OSBP-LJ01C-11-HYDBBA105,TN393,HYDBB-A,2022-08-19T06:13:00,ATOSU-58324-00013,1250
